date_mesure,geocode_commune,libelle_commune,valeur
2025-01-01T00:00:00.000,02082,Beugneux,120
2025-01-01T00:00:00.000,09159,Lassur,82
2025-01-01T00:00:00.000,04148,Peyroules,255
2025-01-01T00:00:00.000,17260,Neuvicq,378
2025-01-01T00:00:00.000,12227,Saint-Igest,188
2025-01-01T00:00:00.000,07228,Saint-Désirat,891
2025-01-01T00:00:00.000,12197,Réquista,1924
2025-01-01T00:00:00.000,02003,Acy,1004
2025-01-01T00:00:00.000,01093,Châtillon-sur-Chalaronne,5250
2025-01-01T00:00:00.000,03100,Diou,1343
2025-01-01T00:00:00.000,02382,Holnon,1343
2025-01-01T00:00:00.000,10233,Méry-sur-Seine,1431
2025-01-01T00:00:00.000,14425,Le Mesnil-Simon,158
2025-01-01T00:00:00.000,10077,Champigny-sur-Aube,90
2025-01-01T00:00:00.000,19137,Meyrignac-l'Église,64
2025-01-01T00:00:00.000,11003,Ajac,196
2025-01-01T00:00:00.000,07287,Saint-Pons,308
2025-01-01T00:00:00.000,12063,La Cavalerie,2223
2025-01-01T00:00:00.000,08347,Puilly-et-Charbeaux,219
2025-01-01T00:00:00.000,15264,Vitrac,268
2025-01-01T00:00:00.000,21057,Beire-le-Fort,339
2025-01-01T00:00:00.000,02670,Saint-Algis,148
2025-01-01T00:00:00.000,02277,Épagny,337
2025-01-01T00:00:00.000,09041,La Bastide-du-Salat,203
2025-01-01T00:00:00.000,17373,Saint-Médard-d'Aunis,2396
2025-01-01T00:00:00.000,09319,Unzent,122
2025-01-01T00:00:00.000,12155,Fondamente,318
2025-01-01T00:00:00.000,16317,Saint-Fraigne,427
2025-01-01T00:00:00.000,19128,Margerides,271
2025-01-01T00:00:00.000,12287,Vailhourles,648
2025-01-01T00:00:00.000,07144,Loubaresse,43
2025-01-01T00:00:00.000,03064,Château-sur-Allier,160
2025-01-01T00:00:00.000,05178,Ventavon,540
2025-01-01T00:00:00.000,12001,Agen-d'Aveyron,1116
2025-01-01T00:00:00.000,02483,Mézières-sur-Oise,507
2025-01-01T00:00:00.000,13084,La Roque-d'Anthéron,5459
2025-01-01T00:00:00.000,02251,Cuiry-lès-Iviers,28
2025-01-01T00:00:00.000,18103,Graçay,1234
2025-01-01T00:00:00.000,19097,Lafage-sur-Sombre,137
2025-01-01T00:00:00.000,10242,Meurville,151
2025-01-01T00:00:00.000,01388,Saint-Trivier-de-Courtes,1125
2025-01-01T00:00:00.000,14249,Esquay-Notre-Dame,1444
2025-01-01T00:00:00.000,13082,Rognes,4693
2025-01-01T00:00:00.000,10289,Plancy-l'Abbaye,960
2025-01-01T00:00:00.000,10328,Rouilly-Sacey,387
2025-01-01T00:00:00.000,02725,Sommeron,134
2025-01-01T00:00:00.000,17464,Vergné,172
2025-01-01T00:00:00.000,18144,Menetou-Râtel,456
2025-01-01T00:00:00.000,17330,Sainte-Gemme,1365
2025-01-01T00:00:00.000,16346,Saint-Quentin-de-Chalais,241
2025-01-01T00:00:00.000,02505,Montfaucon,209
2025-01-01T00:00:00.000,17302,Romegoux,640
2025-01-01T00:00:00.000,21062,Bellenot-sous-Pouilly,237
2025-01-01T00:00:00.000,15229,Soulages,84
2025-01-01T00:00:00.000,04190,Saint-Martin-les-Eaux,120
2025-01-01T00:00:00.000,10046,Blaincourt-sur-Aube,97
2025-01-01T00:00:00.000,01166,Frans,2582
2025-01-01T00:00:00.000,14229,Dozulé,2244
2025-01-01T00:00:00.000,14333,Honfleur,6640
2025-01-01T00:00:00.000,16103,Combiers,128
2025-01-01T00:00:00.000,18241,Sancerre,1269
2025-01-01T00:00:00.000,14336,Hottot-les-Bagues,452
2025-01-01T00:00:00.000,01005,Ambérieux-en-Dombes,1906
2025-01-01T00:00:00.000,08044,Balham,140
2025-01-01T00:00:00.000,02108,Bourguignon-sous-Montbavin,140
2025-01-01T00:00:00.000,14225,Dives-sur-Mer,5122
2025-01-01T00:00:00.000,06057,L'Escarène,2585
2025-01-01T00:00:00.000,02396,Jumigny,60
2025-01-01T00:00:00.000,02540,Nesles-la-Montagne,1189
2025-01-01T00:00:00.000,13012,Beaurecueil,585
2025-01-01T00:00:00.000,17292,Puy-du-Lac,523
2025-01-01T00:00:00.000,15206,Saint-Pierre,146
2025-01-01T00:00:00.000,08257,Logny-Bogny,152
2025-01-01T00:00:00.000,11197,Lauraguel,622
2025-01-01T00:00:00.000,16096,Cherves-Châtelars,414
2025-01-01T00:00:00.000,16335,Saint-Martin-du-Clocher,126
2025-01-01T00:00:00.000,17068,Brie-sous-Mortagne,234
2025-01-01T00:00:00.000,07079,Désaignes,1151
2025-01-01T00:00:00.000,12013,Aubin,3444
2025-01-01T00:00:00.000,17240,Montendre,3222
2025-01-01T00:00:00.000,10168,Les Granges,79
2025-01-01T00:00:00.000,05050,Espinasses,777
2025-01-01T00:00:00.000,09221,Ornolac-Ussat-les-Bains,247
2025-01-01T00:00:00.000,11165,Ginoles,296
2025-01-01T00:00:00.000,17453,Trizay,1538
2025-01-01T00:00:00.000,17245,Montroy,963
2025-01-01T00:00:00.000,10135,Éclance,86
2025-01-01T00:00:00.000,01375,Saint-Martin-le-Châtel,796
2025-01-01T00:00:00.000,14195,Courvaudon,291
2025-01-01T00:00:00.000,07146,Lyas,592
2025-01-01T00:00:00.000,14740,La Vespière-Friardel,1179
2025-01-01T00:00:00.000,18027,Bengy-sur-Craon,628
2025-01-01T00:00:00.000,13013,Belcodène,2009
2025-01-01T00:00:00.000,19086,Goulles,323
2025-01-01T00:00:00.000,14196,Crépon,222
2025-01-01T00:00:00.000,06155,Vallauris,29259
2025-01-01T00:00:00.000,05176,Valserres,289
2025-01-01T00:00:00.000,11285,Peyriac-de-Mer,1187
2025-01-01T00:00:00.000,18115,Ivoy-le-Pré,771
2025-01-01T00:00:00.000,15085,Labrousse,478
2025-01-01T00:00:00.000,16310,Saint-Coutant,206
2025-01-01T00:00:00.000,08130,Contreuve,87
2025-01-01T00:00:00.000,02740,Thenailles,220
2025-01-01T00:00:00.000,07169,Ozon,382
2025-01-01T00:00:00.000,18068,Cogny,31
